FIPS,Tract,County,State,measure,value
51103030100,Census Tract 301,Lancaster County,Virginia,PM25,6.77014136986301
51103030200,Census Tract 302,Lancaster County,Virginia,PM25,6.71975698630137
51103030301,Census Tract 303.01,Lancaster County,Virginia,PM25,6.71931424657534
51103030302,Census Tract 303.02,Lancaster County,Virginia,PM25,6.71931424657534
51103990100,Census Tract 9901,Lancaster County,Virginia,PM25,
51109950101,Census Tract 9501.01,Louisa County,Virginia,PM25,7.38870684931507
51109950102,Census Tract 9501.02,Louisa County,Virginia,PM25,7.38870684931507
51109950201,Census Tract 9502.01,Louisa County,Virginia,PM25,7.36432602739726
51109950202,Census Tract 9502.02,Louisa County,Virginia,PM25,7.39945150684932
51109950301,Census Tract 9503.01,Louisa County,Virginia,PM25,7.36124164383562
51109950302,Census Tract 9503.02,Louisa County,Virginia,PM25,7.36124164383562
51109950303,Census Tract 9503.03,Louisa County,Virginia,PM25,7.36124164383562
51109950400,Census Tract 9504,Louisa County,Virginia,PM25,7.34689369863014
51109950500,Census Tract 9505,Louisa County,Virginia,PM25,7.45015178082192
51111930100,Census Tract 9301,Lunenburg County,Virginia,PM25,7.51148630136986
51111930200,Census Tract 9302,Lunenburg County,Virginia,PM25,7.46832520547945
51111930300,Census Tract 9303,Lunenburg County,Virginia,PM25,7.57676575342466
51115951301,Census Tract 9513.01,Mathews County,Virginia,PM25,6.70643890410959
