FIPS,Tract,County,State,measure,value
51127700302,Census Tract 7003.02,New Kent County,Virginia,Total,4502.0
51131930100,Census Tract 9301,Northampton County,Virginia,Total,4198.0
51131930200,Census Tract 9302,Northampton County,Virginia,Total,3649.0
51131930301,Census Tract 9303.01,Northampton County,Virginia,Total,2662.0
51131930302,Census Tract 9303.02,Northampton County,Virginia,Total,1717.0
51131990100,Census Tract 9901,Northampton County,Virginia,Total,0.0
51133020100,Census Tract 201,Northumberland County,Virginia,Total,3344.0
51133020200,Census Tract 202,Northumberland County,Virginia,Total,3265.0
51133020301,Census Tract 203.01,Northumberland County,Virginia,Total,2137.0
51133020302,Census Tract 203.02,Northumberland County,Virginia,Total,3219.0
51133990100,Census Tract 9901,Northumberland County,Virginia,Total,0.0
51135000101,Census Tract 1.01,Nottoway County,Virginia,Total,2175.0
51135000102,Census Tract 1.02,Nottoway County,Virginia,Total,3458.0
51135000200,Census Tract 2,Nottoway County,Virginia,Total,2369.0
51135000300,Census Tract 3,Nottoway County,Virginia,Total,7661.0
51135980100,Census Tract 9801,Nottoway County,Virginia,Total,4.0
